,game_id,Team,Sh,SoT,CrdY,CrdR,PK,Gls,Cmp_x
267,302,Barcelona,10,7,0,0,0,5,613.0
603,302,Huesca,0,0,1,0,0,0,357.0
268,304,Sevilla,5,2,0,0,0,0,146.0
604,304,Elche,11,4,1,0,0,0,693.0
605,306,Levante,14,7,1,0,0,3,504.0
269,306,Betis,12,3,2,0,0,1,375.0
270,307,Athletic Club,19,6,3,0,0,0,289.0
606,307,Eibar,10,1,1,0,0,0,459.0
607,308,Real Madrid,10,5,2,0,0,1,389.0
271,308,Celta Vigo,16,7,1,0,1,3,299.0
608,309,Osasuna,10,3,1,0,0,1,466.0
272,309,Huesca,6,1,4,0,0,0,318.0
609,310,Sevilla,16,4,2,0,0,0,439.0
273,310,Valladolid,6,2,3,1,0,0,276.0
274,311,Getafe,9,4,1,0,0,2,236.0
610,311,Elche,10,4,1,0,0,1,560.0
275,312,Valencia,9,3,5,0,0,1,264.0
611,312,Granada,12,4,3,0,0,1,319.0
276,313,Villarreal,13,3,4,0,0,0,310.0
612,313,Cádiz,13,3,3,0,1,3,510.0
613,314,Alavés,5,2,0,0,0,0,489.0
277,314,Atlético Madrid,17,12,2,0,0,2,551.0
614,315,Barcelona,10,3,5,0,0,1,375.0
278,315,Real Sociedad,5,1,4,0,1,2,246.0
279,317,Levante,8,5,2,0,1,4,878.0
615,317,Huesca,4,0,0,0,1,1,155.0
616,318,Villarreal,6,1,4,0,0,0,491.0
280,318,Granada,8,3,3,0,0,1,221.0
281,319,Real Madrid,13,6,1,0,0,1,339.0
617,319,Eibar,6,2,3,0,0,1,193.0
282,320,Osasuna,9,2,4,0,0,1,325.0
618,320,Getafe,6,2,0,0,0,1,293.0
283,321,Alavés,17,5,1,0,0,0,559.0
619,321,Celta Vigo,6,2,2,0,0,0,407.0
284,322,Elche,8,1,2,0,0,0,453.0
620,322,Betis,6,4,4,0,0,2,160.0
621,323,Valencia,15,5,3,0,0,2,549.0
285,323,Cádiz,10,4,2,1,0,1,401.0
622,324,Atlético Madrid,11,2,4,0,1,1,266.0
286,324,Sevilla,7,2,1,0,0,2,273.0
287,325,Barcelona,9,3,2,0,1,2,489.0
623,325,Valladolid,3,1,3,0,1,1,221.0
624,326,Athletic Club,14,3,2,0,0,1,489.0
288,326,Real Sociedad,11,3,4,0,0,2,278.0
289,328,Huesca,13,7,1,0,0,2,377.0
625,328,Elche,14,4,1,0,0,2,352.0
290,329,Getafe,16,4,0,0,0,1,815.0
626,329,Cádiz,5,2,4,0,0,2,131.0
291,330,Athletic Club,8,5,2,0,0,2,348.0
627,330,Alavés,10,2,2,0,0,0,289.0
628,331,Levante,6,2,2,0,0,0,307.0
292,331,Eibar,15,4,0,0,0,3,221.0
629,332,Barcelona,11,4,3,0,0,1,361.0
293,332,Real Madrid,5,1,3,0,0,0,367.0
630,333,Osasuna,7,3,2,0,0,0,344.0
294,333,Villarreal,10,3,2,0,0,0,285.0
295,334,Valencia,22,6,0,0,0,2,559.0
631,334,Real Sociedad,3,2,1,0,0,0,285.0
296,335,Valladolid,10,2,2,0,0,1,328.0
632,335,Granada,11,4,5,0,0,1,431.0
633,336,Atlético Madrid,15,3,2,0,0,0,186.0
297,336,Betis,4,3,1,0,0,1,472.0
298,337,Celta Vigo,9,2,7,1,0,0,319.0
634,337,Sevilla,8,4,2,0,0,1,135.0
299,339,Real Sociedad,18,3,1,0,0,0,681.0
635,339,Sevilla,8,2,0,0,0,1,196.0
300,340,Osasuna,16,3,1,0,0,2,569.0
636,340,Elche,1,0,3,1,0,0,159.0
637,341,Eibar,6,3,1,0,0,2,283.0
301,341,Atlético Madrid,15,5,2,0,0,2,310.0
302,342,Alavés,12,7,3,0,0,0,569.0
638,342,Huesca,11,6,3,0,0,0,375.0
639,343,Celta Vigo,13,5,0,0,0,1,464.0
303,343,Cádiz,11,1,4,0,0,1,193.0
640,344,Valencia,13,4,2,0,0,2,398.0
304,344,Betis,13,3,1,0,0,2,308.0
641,345,Villarreal,6,2,2,0,1,1,300.0
305,345,Levante,10,2,1,0,0,0,164.0
306,346,Getafe,6,3,0,0,0,3,285.0
642,346,Real Madrid,19,2,0,0,0,0,485.0
